Date,DraftType,Overall,Pick,Player,Position,Last Pick,Draft length,league_id,Name,Lineup,Scoring,Teams,Copies,Decision?
2021-07-14,SFIRSTRANDOM,1.0,1.01,"McCaffrey, Christian",RB,16.12,16.0,24572,Masters Bronze Email Draft #9 - 140737-PTP11 - The Monster League,"QB: 1, RB: 1-3, WR: 1-3, TE: 1-3, PK: 1, Def: 1, ","QB_pTD: 4.0, RB_PPR: 1.0, WR_PPR: 1.0, TE_PPR: 1.0",12.0,1.0,
2021-07-14,SFIRSTRANDOM,1.0,1.01,"McCaffrey, Christian",RB,18.12,18.0,31896,Apex Rookie 003,"QB: 1, RB: 2-3, WR: 3-4, TE: 1-2, PK: 1, Def: 1, ","QB_pTD: 4.0, RB_PPR: 1.0, WR_PPR: 1.0, TE_PPR: 1.0",12.0,1.0,
2021-07-13,SDRAFT,1.0,1.01,"Cook, Dalvin",RB,24.12,24.0,44377,Xtreme Draft!,"QB: 1, RB: 2-4, WR: 2-4, TE: 1-3, PK: 1, Def: 1, ","QB_pTD: 4.0, RB_PPR: 1.0, WR_PPR: 1.0, TE_PPR: 1.0",12.0,1.0,
2021-07-13,SFIRSTRANDOM,1.0,1.01,"Mahomes, Patrick",QB,30.18,30.0,42192,xx Dynasty Madman SF Eliminator,"QB: 1-2, RB: 2-7, WR: 2-7, TE: 1-7, ","QB_pTD: 4.0, RB_PPR: 1.0, WR_PPR: 1.0, TE_PPR: 1.5",18.0,1.0,
2021-07-13,SFIRSTRANDOM,1.0,1.01,"McCaffrey, Christian",RB,20.12,20.0,46995,Ma ma ma myyyy corona,"QB: 1, RB: 2-3, WR: 3-4, TE: 1-2, PK: 1, Def: 1, ","QB_pTD: 4.0, RB_PPR: 1.0, WR_PPR: 1.0, TE_PPR: 1.0",12.0,1.0,
2021-07-13,3RDROUND,1.0,1.01,"McCaffrey, Christian",RB,30.14,30.0,12136,Field of Dreams Draft & Hold League,"QB: 1, RB: 2-3, WR: 3-4, TE: 1-2, PK: 1, Def: 1, ","QB_pTD: 6.0, RB_PPR: 1.0, WR_PPR: 1.0, TE_PPR: 1.0",14.0,1.0,
2021-07-13,SFIRSTRANDOM,1.0,1.01,"McCaffrey, Christian",RB,20.1,20.0,24207,Masters Copper Best Ball #4 - 140742,"QB: 1, RB: 2-4, WR: 2-4, TE: 1-3, ","QB_pTD: 4.0, RB_PPR: 1.0, WR_PPR: 1.0, TE_PPR: 1.0",10.0,1.0,
2021-07-13,SFIRSTRANDOM,1.0,1.01,"McCaffrey, Christian",RB,16.12,16.0,51363,Masters Bronze Live Draft 140745,"QB: 1, RB: 1-3, WR: 1-3, TE: 1-3, PK: 1, Def: 1, ","QB_pTD: 4.0, RB_PPR: 1.0, WR_PPR: 1.0, TE_PPR: 1.0",12.0,1.0,
2021-07-13,,1.0,1.01,"McCaffrey, Christian",RB,16.12,16.0,94541,Mock  977,,"QB_pTD: 0, RB_PPR: 0, WR_PPR: 0, TE_PPR: 0",,,
2021-07-13,SDRAFT,1.0,1.01,"Mahomes, Patrick",QB,26.08,26.0,27958,Dynasty Keeper League 3,"QB: 1-2, RB: 2-3, WR: 3-4, TE: 1-2, PK: 1, Def: 1, DT+DE: 1, LB: 1, CB+S: 1, ","QB_pTD: 6.0, RB_PPR: 1.0, WR_PPR: 1.0, TE_PPR: 1.0",8.0,1.0,
2021-07-13,SDRAFT,1.0,1.01,"Henry, Derrick",RB,15.19,15.0,26945,Guillotine 406,"QB: 1, RB: 2-4, WR: 2-4, TE: 1-3, ","QB_pTD: 4.0, RB_PPR: 1.0, WR_PPR: 1.0, TE_PPR: 1.0",19.0,1.0,
2021-07-13,SFIRSTRANDOM,1.0,1.01,"McCaffrey, Christian",RB,18.12,18.0,33251,Apex Amateur 019,"QB: 1, RB: 2-3, WR: 3-4, TE: 1-2, PK: 1, Def: 1, ","QB_pTD: 4.0, RB_PPR: 1.0, WR_PPR: 1.0, TE_PPR: 1.0",12.0,1.0,
2021-07-13,,1.0,1.01,"McCaffrey, Christian",RB,16.12,16.0,98088,Mock  986,,"QB_pTD: 4.0, RB_PPR: 1.0, WR_PPR: 1.0, TE_PPR: 1.0",,,
2021-07-12,SAME,1.0,1.01,"Lawrence, Trevor",QB,9.12,9.0,41512,Cash Over Ass...Always!!!,"QB: 1, RB: 1-2, WR: 2-3, TE: 1-2, PK: 1, Def: 1, ","QB_pTD: 6.0, RB_PPR: 0.5, WR_PPR: 0.5, TE_PPR: 0.5",12.0,1.0,
2021-07-12,SDRAFT,1.0,1.01,"Taylor, Jonathan",RB,16.12,16.0,55695,ADP Mock Draft Committee July,"QB: 1, RB: 2-3, WR: 2-3, TE: 1-2, PK: 1, Def: 1, ","QB_pTD: 4.0, RB_PPR: 1.0, WR_PPR: 1.0, TE_PPR: 1.0",12.0,1.0,
2021-07-12,SAME,1.0,1.01,"Pitts, Kyle",TE,10.12,10.0,19755,Rudy Dynasty League VIII - $250,"QB: 1-2, RB: 2-5, WR: 3-6, TE: 1-4, ","QB_pTD: 4.0, RB_PPR: 1.0, WR_PPR: 1.0, TE_PPR: 1.5",12.0,1.0,
2021-07-12,SAME,1.0,1.01,"Lawrence, Trevor",QB,10.12,10.0,31103,Rudy Dynasty League VII - $250,"QB: 1-2, RB: 2-5, WR: 3-6, TE: 1-4, ","QB_pTD: 4.0, RB_PPR: 1.0, WR_PPR: 1.0, TE_PPR: 1.5",12.0,1.0,
2021-07-12,SAME,1.0,1.01,"Lawrence, Trevor",QB,10.12,10.0,40406,Rudy Dynasty League V - $250,"QB: 1-2, RB: 2-5, WR: 3-6, TE: 1-4, ","QB_pTD: 4.0, RB_PPR: 1.0, WR_PPR: 1.0, TE_PPR: 1.5",12.0,1.0,
