Date,DraftType,Overall,Pick,Player,Position,league_id,Name,Lineup,Scoring,Teams,Copies,Decision?
2021-04-20,SAME,1,1.01,Rookie Pick 1,Pick,63059,Farmer's Market Devy '21,"QB: 1, RB: 2-4, WR: 3-5, TE: 1-3, ","QB_pTD: 5.0, RB_PPR: 0.75, WR_PPR: 0.75, TE_PPR: 0.75",12.0,1.0,
2021-04-15,SAME,1,1.01,Rookie Pick 1,Pick,18923,The League With No Name,"QB: 1-2, RB: 1-7, WR: 2-7, TE: 1-7, ","QB_pTD: 4.0, RB_PPR: 0, WR_PPR: 0, TE_PPR: 0",12.0,1.0,
2021-02-15,SAME,1,1.01,"McCaffrey, Christian",RB,48971,DN75 dispersal draft ,"QB: 1, RB: 2-4, WR: 3-5, TE: 1-3, ","QB_pTD: 0, RB_PPR: 1.0, WR_PPR: 1.0, TE_PPR: 1.0",12.0,1.0,
2021-03-01,SAME,1,1.01,"Blue, Alfred",RB,29854,GALACTIC EMPIRE,"QB: 1-2, RB: 2-4, WR: 3-5, TE: 1-3, ","QB_pTD: 6.0, RB_PPR: 0.5, WR_PPR: 1.0, TE_PPR: 1.5",12.0,1.0,
2021-03-17,SAME,1,1.01,"Parsons, Micah",LB,19948,DEFENSE WINS CHAMPIONSHIPS,"DE: 3-6, DT: 2-5, LB: 4-8, CB: 2-5, S: 3-7, ","QB_pTD: 0, RB_PPR: 0, WR_PPR: 0, TE_PPR: 0",14.0,1.0,
2021-04-27,SAME,1,1.01,Rookie Pick 1,Pick,62943,To Be Deleted,"QB: 1, RB: 1-3, WR: 2-4, TE: 1-3, PK: 0-1, DT+DE: 1-3, LB: 2-4, CB+S: 2-4, ","QB_pTD: 6.0, RB_PPR: 1.0, WR_PPR: 1.0, TE_PPR: 2.0",32.0,1.0,
2021-04-27,SAME,1,1.01,Rookie Pick 1,Pick,62943,To Be Deleted,"QB: 1, RB: 1-3, WR: 2-4, TE: 1-3, PK: 0-1, DT+DE: 1-3, LB: 2-4, CB+S: 2-4, ","QB_pTD: 6.0, RB_PPR: 1.0, WR_PPR: 1.0, TE_PPR: 2.0",32.0,1.0,
2021-04-25,SAME,1,1.01,Rookie Pick 1,Pick,11785,Ultimate Dynasty Podcast League 2.0,"QB: 1-2, RB: 2-5, WR: 3-6, TE: 1-4, ","QB_pTD: 4.0, RB_PPR: 1.0, WR_PPR: 1.0, TE_PPR: 1.5",12.0,1.0,
2021-02-11,SAME,1,1.01,Rookie Pick 1,Pick,59239,SJ New Guys Draft,"QB: 1, RB: 2-3, WR: 2-3, TE: 1-2, PK: 1, DT+DE: 2-3, LB: 2-3, CB+S: 2-3, ","QB_pTD: 4.0, RB_PPR: 0.5, WR_PPR: 0.5, TE_PPR: 0.5",12.0,1.0,
2021-04-26,SAME,1,1.01,Rookie Pick 1,Pick,21424,Downtown Dynasty,"QB: 1, RB: 2-3, WR: 3-4, TE: 1-2, PK: 1, DT+DE: 2-4, LB: 2-4, CB+S: 2-4, ","QB_pTD: 6.0, RB_PPR: 1.0, WR_PPR: 1.0, TE_PPR: 1.0",10.0,1.0,
