Player,Overall,Position
"Pittman, Michael",104.6666667,9.09
"Gesicki, Mike",105,9.09
"Winston, Jameis",105.3333333,9.09
"Tonyan, Robert",106,9.10
"Gaskin, Myles",106.6666667,9.11
Rookie Pick 13,108.3333333,9.12
"Brown, Marquise",108.6666667,9.13
"Thielen, Adam",110.3333333,10.02
"Reagor, Jalen",110.3333333,10.02
"Engram, Evan",112.6666667,10.05
"Drake, Kenyan",113,10.05
Rookie Pick 14,114.6666667,10.07
"Darnold, Sam",116.3333333,10.08
Rookie Pick 15,116.6666667,10.09
"Fournette, Leonard",117.6666667,10.10
"Fuller, Will",118.6666667,10.11
"Landry, Jarvis",118.6666667,10.11
"Thomas, Logan",119.3333333,10.11
"Garoppolo, Jimmy",119.6666667,10.12
"Mims, Denzel",121.3333333,11.01
"Smith Jr., Irv",122.6666667,11.03
"Ruggs, Henry",124,11.04
"Moss, Zack",127.3333333,11.07
"Davis, Corey",127.6666667,11.08
"Samuel, Curtis",127.6666667,11.08
"Mostert, Raheem",128,11.08
Rookie Pick 16,128.6666667,11.09
"Parker, DeVante",130,11.10
"Gallup, Michael",130.6666667,11.11
"Smith, Jonnu",131.3333333,11.11
"Pollard, Tony",132,11.12
"Lock, Drew",132.6666667,11.13
Rookie Pick 17,133,11.13
"Kmet, Cole",134.6666667,12.03
Rookie Pick 18,136.3333333,12.04
"Anderson, Robby",137.6666667,12.06
"Hurst, Hayden",139.3333333,12.07
"Edmonds, Chase",140,12.08
Rookie Pick 19,141,12.09
"Cooks, Brandin",142.3333333,12.10
"Williams, Mike",144,12.12
"Singletary, Devin",146.3333333,13.02
"Mooney, Darnell",146.3333333,13.02
"Conner, James",148.3333333,13.04
"Ertz, Zach",149.3333333,13.05
"Brown, Antonio",149.6666667,13.06
"Johnson, David",151.3333333,13.07
"Love, Jordan",152,13.08
"Hooper, Austin",153.3333333,13.09
"Davis, Gabriel",154.6666667,13.11
"Roethlisberger, Ben",154.6666667,13.11
Rookie Pick 20,155,13.11
"Higbee, Tyler",156.3333333,13.12
"Hardman, Mecole",157.3333333,14.01
"Hines, Nyheim",159.6666667,14.04
"Cohen, Tarik",160,14.04
"Slayton, Darius",162.3333333,14.06
Rookie Pick 21,163.3333333,14.07
Rookie Pick 22,165,14.09
"Trautman, Adam",166,14.10
"Edwards, Bryan",167,14.11
"Wilson, Jeffery",168.6666667,14.13
Rookie Pick 23,169.3333333,15.01
"Mariota, Marcus",169.6666667,15.02
"Hill, Taysom",169.6666667,15.02
