Division,ERA,GP,HR,IP,K,Moves,OBP,R,RBI,Rank,SB,SV,Team,Unnamed: 0,W,WHIP,Sum
Roberto Clemente,163.0,1476.0,72.0,1166.0,146.0,37,98.0,136.5,78.0,30.0,106.0,132.0,Shaky Pizza,,170.0,158.0,1259.5
Roberto Clemente,22.0,1463.0,135.5,1428.0,177.0,127,51.0,111.0,95.0,63.0,139.5,108.0,CONTI LEWIS MLB,,179.0,9.0,1027.0
Roberto Clemente,119.0,1387.0,88.5,1032.6666666666667,101.0,30,175.0,80.0,25.5,72.0,127.5,29.0,Copper Fox Tavern III,,139.0,100.0,984.5
Roberto Clemente,19.0,1331.0,23.0,969.6666666666665,31.5,20,62.0,18.5,23.5,173.0,62.0,44.5,Coocoo for CoCo,,24.5,61.0,369.5
Roberto Clemente,26.0,1400.0,68.0,728.3333333333335,2.0,7,67.0,45.5,161.5,168.0,13.5,6.5,Team St Maurice 5,,4.0,44.0,438.0
Roberto Clemente,90.0,1409.0,52.0,1359.0,179.0,42,74.0,64.0,79.5,74.5,88.5,29.0,Stars and Stripes,,176.5,136.0,968.5
Roberto Clemente,29.0,1329.0,119.5,852.6666666666665,21.0,32,165.0,71.0,100.0,116.5,81.5,151.5,The Cajuns,,41.0,27.0,806.5
Roberto Clemente,157.0,1488.0,143.5,1048.6666666666667,138.0,28,38.0,125.0,140.0,34.0,148.5,54.5,80 Grade Aces,,127.5,160.0,1232.0
Rollie Fingers,83.0,1431.0,179.0,1030.0,66.0,41,159.0,174.0,174.0,28.5,13.5,142.5,Team Denicola,,163.0,107.0,1261.0
Rollie Fingers,71.0,1413.0,177.0,1026.6666666666667,98.0,56,132.0,175.0,156.5,31.0,139.5,151.5,Three Bagger Nights,,33.5,123.0,1257.0
Rollie Fingers,61.0,1410.0,26.0,1070.6666666666667,153.0,7,37.0,30.0,108.0,132.0,99.5,24.5,Team Rhodes,,82.5,78.0,699.5
Rollie Fingers,42.0,1416.0,57.0,1056.3333333333333,62.0,34,39.0,26.0,84.0,143.0,154.0,73.0,Kaz Matsui,,52.0,56.0,645.0
Rollie Fingers,77.0,1430.0,28.5,999.3333333333335,99.0,31,173.0,118.0,34.5,112.0,103.0,24.5,Copper Fox Tavern IV,,92.0,76.0,825.5
Rollie Fingers,64.0,1326.0,18.5,874.6666666666665,14.0,8,27.0,5.0,16.0,179.0,62.0,13.0,Chaw Dawgs,,45.5,62.0,327.0
Rollie Fingers,41.0,1445.0,64.5,1082.3333333333333,52.0,77,151.0,85.5,108.0,81.0,110.0,120.5,WV Menopaws,,92.0,96.0,920.5
Rollie Fingers,136.0,1487.0,140.0,982.0,83.0,63,25.0,167.0,122.0,61.0,124.0,54.5,Team Bucs,,75.5,116.0,1043.0
Rollie Fingers,148.0,1495.0,162.5,1057.3333333333333,125.0,148,4.0,97.5,164.0,25.5,145.5,108.0,Cheesin' Like Cheddar,,155.5,167.0,1277.0
Rollie Fingers,79.0,1391.0,84.5,948.0,69.0,53,101.0,69.0,94.0,127.0,3.0,147.0,EI Maeda Mistake (75R),,52.0,38.0,736.5
Rollie Fingers,144.0,1428.0,41.0,1025.6666666666667,88.0,29,157.0,143.0,54.5,50.0,139.5,61.5,Team Perera,,163.0,127.0,1118.5
Rollie Fingers,154.0,1427.0,55.0,1040.0,127.5,107,59.0,36.5,45.5,86.0,47.5,170.0,"Acuna, Maeda Oh I Wanna Take Ya",,134.5,70.0,899.5
Oil Can Boyd,126.0,1476.0,98.0,752.3333333333335,11.0,59,60.0,125.0,118.0,84.0,154.0,73.0,Team 1,,14.5,124.0,903.5
Oil Can Boyd,44.0,1462.0,81.0,1058.3333333333333,96.0,155,144.0,146.5,135.5,38.0,148.5,138.5,Let the boy watch,,148.0,98.0,1180.0
Oil Can Boyd,89.0,1459.0,72.0,1088.0,122.0,65,53.0,89.0,102.5,114.0,99.5,36.0,Slow Roar,,114.0,45.0,822.0
Oil Can Boyd,160.0,1401.0,55.0,1007.6666666666665,116.0,62,6.0,92.5,38.5,47.5,176.0,166.0,The Till Hammer,,142.0,172.0,1124.0
Oil Can Boyd,135.0,1413.0,36.0,1076.3333333333333,130.0,19,3.0,15.5,76.0,124.0,78.5,61.5,Luckydogs  coyle,,92.0,122.0,749.5
Oil Can Boyd,36.0,1340.0,27.0,988.0,43.5,36,111.0,24.0,14.0,153.0,21.0,171.0,Acuna  Matata,,120.0,15.0,582.5
