Division,ERA,GP,HR,IP,K,Moves,OBP,R,RBI,Rank,SB,SV,Team,Unnamed: 0,W,WHIP
Jackie Robinson,3.64279098,1435.0,197.0,1079.6666666666667,1105.0,52,0.32528504,738.0,768.0,0,98.0,42.0,Piazza  Delivery ,,74.0,1.16795307
Jackie Robinson,3.85578614,1269.0,186.0,947.6666666666665,1018.0,7,0.33194857,627.0,659.0,0,58.0,43.0,Hey Soapy!,,68.0,1.13542033
Jackie Robinson,4.09793814,1371.0,171.0,1164.0,1289.0,49,0.32528121,702.0,626.0,0,92.0,49.0,Buffalo Braves,,72.0,1.25773196
Roger Maris,3.85302491,1453.0,228.0,936.6666666666665,1010.0,49,0.31073734,713.0,763.0,0,71.0,53.0,Money Ball,,58.0,1.22348754
Roger Maris,4.37580231,1337.0,167.0,1038.6666666666667,1030.0,71,0.33135985,690.0,620.0,0,79.0,60.0,Team pace,,64.0,1.26508344
Roger Maris,3.71275783,1344.0,211.0,872.6666666666665,940.0,18,0.33656536,741.0,666.0,0,90.0,98.0,Team Symonds,,64.0,1.22039725
Roger Maris,4.41192171,1463.0,249.0,1124.0,1250.0,33,0.31803664,761.0,762.0,0,68.0,48.0,Fear the Chop,,73.0,1.30071174
Roger Maris,3.4653821000000002,1489.0,198.0,1020.6666666666665,1212.0,73,0.3316913,789.0,711.0,0,72.0,49.0,Team thurlow2,,63.0,1.14826911
Roger Maris,2.92293578,1382.0,196.0,908.3333333333335,960.0,25,0.34788859,742.0,669.0,0,88.0,50.0,Team Esposito,,63.0,1.0987156
Roger Maris,3.76871735,1466.0,205.0,1148.6666666666667,1278.0,80,0.33861125,768.0,735.0,0,81.0,32.0,Myrtle Beach Mermen,,79.0,1.14567615
Roger Maris,3.64775846,1492.0,229.0,1093.0,1102.0,56,0.33279717,817.0,806.0,0,109.0,61.0,Team Cochran,,70.0,1.13449222
Roger Maris,3.1817905,1436.0,227.0,1094.6666666666667,1263.0,66,0.33109469,791.0,751.0,0,80.0,92.0,PujolsMyARod RM,,69.0,1.09165652
Roger Maris,3.37216466,1432.0,215.0,1190.3333333333333,1210.0,42,0.34346035,783.0,706.0,0,90.0,35.0,Orioles Magic,,86.0,1.17782134
Roger Maris,4.11436856,1413.0,200.0,1034.6666666666667,1067.0,35,0.33786232,714.0,705.0,0,56.0,26.0,Copper Fox Tavern II,,64.0,1.26514175
Roger Maris,3.64072398,1406.0,210.0,736.6666666666665,734.0,7,0.34082861,743.0,709.0,0,82.0,40.0,Team St Maurice 4,,47.0,1.17828054
Roberto Clemente,3.82340691,1351.0,209.0,800.3333333333335,854.0,21,0.33010432,714.0,686.0,0,80.0,70.0,Team Z1,,52.0,1.21699292
Roberto Clemente,3.64359862,1479.0,241.0,1156.0,1248.0,31,0.34074074,803.0,817.0,0,74.0,71.0,Fear the Tomahawk,,62.0,1.14965398
Roberto Clemente,3.10415984,1440.0,183.0,1017.6666666666665,1213.0,89,0.33218589,719.0,653.0,0,62.0,91.0,Team thurlow4,,72.0,1.07206027
Roberto Clemente,3.83982036,1443.0,226.0,1113.3333333333333,1339.0,77,0.33349876,807.0,730.0,0,111.0,51.0,The Charros,,82.0,1.20538922
Roberto Clemente,3.26500858,1476.0,204.0,1166.0,1198.0,37,0.33425956,795.0,703.0,0,83.0,67.0,Shaky Pizza,,84.0,1.12349914
